chapter,PENSVMA,PENSVMB
1,0.8432203389830508,0.8125
2,0.675,0.6875
3,0.7987804878048781,0.6826923076923077
4,0.7647058823529411,0.7083333333333333
5,0.7675438596491229,0.6666666666666666
6,0.7142857142857143,0.646551724137931
7,0.66,0.646551724137931
8,0.7604166666666666,0.5125
9,0.49193548387096775,0.6145833333333334
10,0.75,0.7758620689655172
11,0.813953488372093,0.5978260869565217
12,0.6805555555555556,0.7916666666666667
13,0.75,0.6481481481481481
14,0.7916666666666667,0.625
15,0.703125,0.6458333333333334
16,0.625,0.6484375
17,0.7236842105263157,0.7037037037037037
18,0.6,0.5833333333333334
19,0.7619047619047619,0.618421052631579
20,0.75,0.6041666666666666
21,0.7592592592592592,0.6847826086956522
22,0.8275862068965517,0.5161290322580645
23,0.81,0.5909090909090908
24,0.7285714285714285,0.6333333333333333
25,0.7,0.625
26,0.7717391304347826,0.7155172413793104
27,0.7211538461538461,0.703125
28,0.7934782608695652,0.8472222222222222
29,0.7608695652173912,0.6904761904761905
30,0.74,0.5703125
31,0.7954545454545454,0.7361111111111112
32,0.71,0.7159090909090909
33,0.8243243243243243,0.65625
34,,0.6547619047619048
35,0.7,0.736111111111111
