model,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
model_01,0.8232445520581113,0.5375,0.4535647279549719,0.6776960784313726,0.6023391812865497,0.5545390570021111,0.49310344827586206,0.5791666666666667,0.54502688172043,0.7220689655172414,0.7113245702730031,0.6666666666666667,0.41798941798941797,0.6538461538461539,0.5625,0.6197916666666667,0.7173489278752436,0.6666666666666666,0.6152882205513784,0.5778985507246377,0.6714975845410628,0.639599555061179,0.5754545454545454,0.6761904761904762,0.5634920634920635,0.6626686656671663,0.6430288461538461,0.5640096618357487,0.7049689440993789,0.5856250000000001,0.6414141414141414,0.6436363636363637,0.5658783783783784,0.7619047619047619,0.7122222222222223
model_02,0.7969128329297821,0.725,0.5356472795497186,0.6629901960784315,0.5935672514619883,0.5890218156228009,0.5303448275862069,0.4583333333333333,0.4643817204301075,0.776551724137931,0.7214357937310414,0.7083333333333334,0.6177248677248677,0.6185897435897436,0.6875,0.6458333333333333,0.7251461988304093,0.625,0.7418546365914787,0.6195652173913043,0.6747181964573269,0.5684093437152391,0.6581818181818182,0.6285714285714286,0.5099206349206349,0.7451274362818591,0.6358173076923077,0.7246376811594203,0.6961697722567288,0.708125,0.696969696969697,0.6609090909090909,0.6106418918918919,0.6666666666666666,0.7333333333333334
model_03,0.7000605326876513,0.5625,0.5844277673545966,0.6213235294117647,0.5380116959064327,0.5475017593244195,0.5103448275862069,0.5083333333333333,0.3924731182795699,0.7075862068965517,0.6632962588473206,0.75,0.5621693121693122,0.48397435897435903,0.5364583333333334,0.6927083333333333,0.6354775828460039,0.625,0.6228070175438596,0.6385869565217391,0.5104669887278583,0.5005561735261401,0.4872727272727273,0.5619047619047619,0.47619047619047616,0.6499250374812594,0.6502403846153846,0.7367149758454106,0.579192546583851,0.628125,0.6186868686868687,0.5981818181818181,0.6511824324324325,0.5714285714285714,0.7611111111111111
model_04,0.6501210653753027,0.5625,0.5356472795497186,0.7512254901960784,0.5657894736842105,0.5443349753694582,0.5793103448275863,0.4083333333333333,0.27956989247311825,0.6475862068965517,0.6648129423660263,0.6805555555555556,0.5277777777777778,0.33653846153846156,0.5052083333333334,0.5625,0.5038986354775828,0.5416666666666666,0.49624060150375937,0.4692028985507246,0.5257648953301127,0.4983314794215795,0.45363636363636367,0.5476190476190477,0.55,0.610944527736132,0.5769230769230769,0.5760869565217391,0.5248447204968945,0.608125,0.6691919191919192,0.4927272727272727,0.7043918918918919,0.6190476190476191,0.6655555555555556
model_05,0.6924939467312349,0.48750000000000004,0.6196060037523452,0.6274509803921569,0.6564327485380117,0.5686136523574947,0.5103448275862069,0.4458333333333333,0.39717741935483875,0.5613793103448276,0.506572295247725,0.625,0.5634920634920635,0.5833333333333333,0.53125,0.4635416666666667,0.4697855750487329,0.4583333333333333,0.49624060150375937,0.5534420289855072,0.5169082125603865,0.5005561735261401,0.49909090909090914,0.4714285714285714,0.5567460317460318,0.5764617691154422,0.5036057692307692,0.5760869565217391,0.45341614906832295,0.45875,0.6136363636363636,0.47545454545454546,0.6596283783783784,0.38095238095238093,0.6799999999999999
model_06,0.6492130750605327,0.6375,0.44652908067542213,0.6446078431372549,0.6111111111111112,0.571780436312456,0.5131034482758621,0.4458333333333333,0.35080645161290325,0.6103448275862069,0.5212335692618807,0.625,0.6005291005291005,0.5801282051282051,0.43229166666666663,0.45833333333333337,0.4327485380116959,0.4166666666666667,0.48621553884711777,0.4692028985507246,0.5169082125603865,0.5878754171301446,0.5672727272727273,0.5761904761904761,0.5277777777777778,0.658920539730135,0.6117788461538461,0.47101449275362317,0.4860248447204969,0.534375,0.6641414141414141,0.6209090909090909,0.7398648648648649,0.5238095238095238,0.6722222222222223
model_07,0.6755447941888619,0.6,0.5567542213883677,0.6274509803921569,0.5818713450292398,0.5928923293455313,0.5703448275862069,0.5125,0.3924731182795699,0.6275862068965516,0.5429726996966633,0.6388888888888888,0.5066137566137566,0.40064102564102566,0.5208333333333334,0.44270833333333337,0.49317738791423005,0.4166666666666667,0.5488721804511278,0.4266304347826087,0.47987117552334946,0.517797552836485,0.49909090909090914,0.5619047619047619,0.55,0.6371814092953523,0.4182692307692308,0.538647342995169,0.4860248447204969,0.5700000000000001,0.6641414141414141,0.5727272727272728,0.5430743243243243,0.47619047619047616,0.6044444444444445
model_08,0.6153147699757869,0.5,0.5164165103189493,0.5208333333333333,0.6169590643274854,0.5443349753694582,0.43586206896551727,0.4041666666666667,0.34408602150537637,0.4124137931034483,0.6415571284125379,0.5833333333333334,0.5436507936507937,0.4423076923076923,0.453125,0.33333333333333337,0.4405458089668616,0.3333333333333333,0.45614035087719296,0.4266304347826087,0.5136876006441223,0.4338153503893215,0.46181818181818185,0.5047619047619047,0.4273809523809524,0.5464767616191905,0.3245192307692308,0.41787439613526567,0.36231884057971014,0.41875,0.49747474747474746,0.4927272727272727,0.5202702702702703,0.47619047619047616,0.5555555555555556
model_09,0.6483050847457628,0.475,0.4638836772983115,0.47916666666666663,0.5263157894736842,0.5175932441942294,0.4386206896551724,0.4666666666666667,0.3649193548387097,0.4668965517241379,0.564711830131446,0.5833333333333333,0.5449735449735449,0.45833333333333337,0.34895833333333337,0.35416666666666663,0.45906432748538006,0.2916666666666667,0.424812030075188,0.34239130434782605,0.572463768115942,0.5016685205784205,0.39909090909090905,0.5380952380952381,0.4452380952380952,0.5502248875562219,0.4182692307692308,0.3502415458937198,0.427536231884058,0.4075,0.6085858585858586,0.4163636363636364,0.47635135135135137,0.6190476190476191,0.5822222222222222
model_10,0.6670702179176755,0.5874999999999999,0.4324577861163227,0.5208333333333333,0.4546783625730994,0.48627726952850103,0.3324137931034483,0.4833333333333333,0.3024193548387097,0.4496551724137931,0.5748230535894843,0.5277777777777778,0.5621693121693122,0.4807692307692308,0.515625,0.53125,0.5409356725146199,0.4166666666666667,0.2982456140350877,0.4909420289855072,0.4613526570048309,0.43715239154616237,0.5327272727272727,0.5619047619047619,0.42063492063492064,0.5067466266866567,0.3713942307692308,0.4613526570048309,0.4384057971014492,0.51,0.6641414141414141,0.4445454545454546,0.5616554054054055,0.47619047619047616,0.6311111111111112
